"rank","team","conference","eval","eval_strength","eval_resume","estimate_spread","std.error_spread","statistic_spread","p.value_spread","percentile_spread","scale_spread","division_i","estimate_possessions","std.error_possessions","statistic_possessions","p.value_possessions","percentile_possessions","scale_possessions","estimate_wins","std.error_wins","statistic_wins","p.value_wins","percentile_wins","scale_wins","estimate_bt","std.error_bt","statistic_bt","p.value_bt","percentile_bt","scale_bt","logo","background"
NA,"#Home Advantage",NA,NA,NA,NA,2.93299021449767,0.436236384627266,6.72339657546839,1.94605628835354e-11,0.999999999991123,0.458607441191225,NA,1.01954144381909,0.151501495358582,6.72958007051997,1.86574311794127e-11,0.999999999991492,0.453970160155301,0.948317221323906,0.323198336218939,2.93416492305673,0.0033444644776045,0.998327767761198,0.535512139287891,NA,NA,NA,NA,NA,NA,NA,NA
NA,"#Away Disadvantage",NA,NA,NA,NA,-2.93299021449852,0.436236384627264,-6.72339657547036,1.94605628832734e-11,8.87682571522544e-12,0.369494790844912,NA,-1.01954144381906,0.151501495358581,-6.72958007051984,1.86574311794294e-11,8.50767162503491e-12,0.364550995276554,-0.94831722132388,0.323198336218939,-2.93416492305665,0.00334446447760535,0.00167223223880268,0.452958179564814,NA,NA,NA,NA,NA,NA,NA,NA
1,"Michigan","Big Ten",100,100,100,38.5710072865354,2.53638004841248,15.2071087732602,3.08053650548773e-51,1,1,1,13.4710120438511,0.880865016476082,15.2929356846774,8.70675042831549e-52,1,1,11.6196851093517,5.40385177245071,2.15025977740356,0.0315346721054794,0.98423266394726,1,4.2071954328596,1.21207524701194,3.47106785922025,0.00051839297812268,0.999740803510939,1,"/Users/nicholasschaefer/Desktop/CFB/cbk_logos_resized/Michigan.png","#00274C"
2,"Duke","ACC",90.1638142621066,88.9118742573191,91.415754266894,31.6384685133967,2.54166479564755,12.4479312014612,4.03472558148074e-35,1,0.894684799722612,1,10.8155888268507,0.882700367989434,12.2528427755002,4.28447278826397e-34,1,0.88355268542377,10.1371679575307,5.51617388480552,1.83771726004757,0.0661040791693807,0.96694796041531,0.935471138513473,3.37314328577574,1.19890815798173,2.81351266426793,0.00490034558717721,0.997549827206411,0.892843946824407,"/Users/nicholasschaefer/Desktop/CFB/cbk_logos_resized/Duke.png","#000000"
3,"Purdue","Big Ten",87.9641235914894,82.1619063197214,93.7663408632574,26.8964052860822,2.70182888612166,9.95488849210236,3.68534799449808e-23,1,0.822646062565063,1,9.37985716616814,0.938324107926458,9.99639366284224,2.4432344888492e-23,1,0.820592063829366,10.0667580233369,4.80949581268415,2.09310048608165,0.0363401853400567,0.981829907329972,0.932406436776099,3.76291461253276,1.1577038297547,3.25032578783995,0.00115272870610567,0.999423635646947,0.942920380489048,"/Users/nicholasschaefer/Desktop/CFB/cbk_logos_resized/Purdue.png","#CBBA96"
4,"Arizona","Big 12",85.814347313584,75.5787653334175,96.0499292937506,22.4719620473891,2.74402788823325,8.18940731023609,3.20258531857877e-16,1,0.755432428275076,1,7.91018082415402,0.952979492364438,8.30047329195727,1.27880825751831e-16,1,0.756142878393274,10.4179125218711,5.19588759958203,2.0050303864751,0.0449597986339518,0.977520100683024,0.947690981692464,3.99943442092799,1.2301195761395,3.25125662456283,0.00114896098196373,0.999425519509018,0.973307604182547,"/Users/nicholasschaefer/Desktop/CFB/cbk_logos_resized/Arizona.png","#B12535"
5,"Gonzaga","WCC",85.4426226346386,82.5289785540657,88.3562667152114,27.5197873639228,2.38753786704759,11.5264296930099,2.08310119532789e-30,1,0.832116129812503,1,9.33131681306424,0.829173287303877,11.2537595650311,4.44540258446366e-29,1,0.81846344126881,9.09709719582747,3.63819214210846,2.50044440768744,0.0124037598804055,0.993798120059797,0.890200443307214,3.24923686799617,0.905393590353229,3.58875620792557,0.000332259363674258,0.999833870318163,0.876924890997014,"/Users/nicholasschaefer/Desktop/CFB/cbk_logos_resized/Gonzaga.png","#A42B38"
6,"North Carolina","ACC",80.6567873739179,70.5430069140739,90.7705678337618,19.3149905287249,2.70824096798267,7.13193203893978,1.11099710992446e-12,0.999999999999505,0.707473506062283,1,6.70714611749512,0.94055097396638,7.13108199676891,1.11782069330656e-12,0.999999999999502,0.703386632219196,9.21192879634339,5.46798610908863,1.68470230402227,0.0920460217712574,0.953976989114371,0.89519866706123,3.58616866334583,1.21587250719583,2.94946110066806,0.0031832864340996,0.99840835678295,0.920212689614007,"/Users/nicholasschaefer/Desktop/CFB/cbk_logos_resized/North Carolina.png","#13294B"
7,"Iowa State","Big 12",80.1005820206124,79.4725791628837,80.7285848783412,25.2658142295411,2.53123389256282,9.98161975618932,2.82870857418685e-23,1,0.797875047312248,1,8.71819737026021,0.879077796670386,9.91743552536697,5.33285230814043e-23,1,0.791576535945426,6.30556246512114,4.18644647823242,1.50618489879356,0.132019714959572,0.933990142520214,0.768694558703232,3.00757581795193,1.11402506195763,2.6997380226499,0.00693940963532031,0.99653029518234,0.845877138863591,"/Users/nicholasschaefer/Desktop/CFB/cbk_logos_resized/Iowa State.png","#C8102E"
8,"Alabama","SEC",79.5294005454927,80.9732442154869,78.0855568754985,26.4442341720916,2.51188619379973,10.5276402399782,1.0991612229978e-25,1,0.815776935252846,1,8.99438173469927,0.872358491730105,10.3104191911529,1.03412723472703e-24,1,0.803687949056893,6.57778011869865,2.68416316549185,2.45058877316549,0.0142622789078156,0.992868860546092,0.780543254848376,2.50390950632476,0.767803437890221,3.26113349167208,0.00110967785068209,0.999445161074659,0.781167882661593,"/Users/nicholasschaefer/Desktop/CFB/cbk_logos_resized/Alabama.png","#828A8F"
