"rank","team","conference","eval","eval_strength","eval_resume","estimate_spread","std.error_spread","statistic_spread","p.value_spread","percentile_spread","scale_spread","estimate_possessions","std.error_possessions","statistic_possessions","p.value_possessions","percentile_possessions","scale_possessions","estimate_wins","std.error_wins","statistic_wins","p.value_wins","percentile_wins","scale_wins","estimate_bt","std.error_bt","statistic_bt","p.value_bt","percentile_bt","scale_bt","logo"
NA,"#Home Advantage",NA,NA,NA,NA,3.16740328428198,1.59569612955352,1.98496645170671,0.0472435577142163,0.976425897931453,0.548867901968103,0.446127015728464,0.232064532863692,1.92242653465063,0.0546512940732042,0.972723945289325,0.552695276748528,0.640830869819376,0.526238090459891,1.21775842805172,0.223315786407012,0.888342106796494,0.503212491514902,NA,NA,NA,NA,NA,NA,"/Users/nicholasschaefer/Desktop/CFB/cfb_logos_updated_resized/NA/#Home Advantage.png"
NA,"#Away Disadvantage",NA,NA,NA,NA,-3.1674032842825,1.59569612955352,-1.98496645170703,0.0472435577141802,0.0235741020685293,0.462298905946416,-0.446127015728538,0.232064532863692,-1.92242653465094,0.0546512940731646,0.0272760547106549,0.465251027984862,-0.640830869819381,0.526238090459891,-1.21775842805173,0.223315786407009,0.111657893203504,0.429209504215519,NA,NA,NA,NA,NA,NA,"/Users/nicholasschaefer/Desktop/CFB/cfb_logos_updated_resized/NA/#Away Disadvantage.png"
1,"Indiana","Big Ten",100,100,100,36.1796213904826,3.61354546624358,10.0122225466538,3.23190668710896e-23,1,1,5.01028587412924,0.52552345341601,9.53389585481171,3.12023803127616e-21,1,1,9.24472059902657,4.82466223618377,1.91613840440341,0.05534748109331,0.972326259453345,1,4.26949801825028,1.18026284323335,3.61741288622956,0.000297562432013549,0.999851218783993,1,"/Users/nicholasschaefer/Desktop/CFB/cfb_logos_updated_resized/Big Ten/Indiana.png"
2,"Ohio State","Big Ten",94.4455845214223,94.3300155953005,94.5611534475441,31.6370976404253,3.61740155653396,8.74580749358073,3.7074194492054e-18,1,0.93792364199429,4.48659850959104,0.5260842505348,8.52828896708105,2.36938964420131e-17,1,0.94867666991172,7.54475414380571,3.9882543895631,1.8917434563727,0.0585251702878446,0.970737414856078,0.901844151148224,4.17644848639016,1.09646915032783,3.80899771337975,0.00013953124808474,0.999930234375958,0.989378917802658,"/Users/nicholasschaefer/Desktop/CFB/cfb_logos_updated_resized/Big Ten/Ohio State.png"
3,"Oregon","Big Ten",87.7217660853765,90.5141267901731,84.9294053805799,29.1525671816988,3.61623325684324,8.06158372846425,1.09548381313755e-15,1,0.90397101770035,4.05431762172292,0.525914342920844,7.7090835728227,1.73579478804439e-14,0.999999999999994,0.906311518103112,6.04004791036339,2.88663192842889,2.09242053026512,0.0364009138491925,0.981799543075404,0.814962602890319,3.24996045089655,0.852132415238567,3.81391482447793,0.000136782627193752,0.999931608686403,0.883625504721279,"/Users/nicholasschaefer/Desktop/CFB/cfb_logos_updated_resized/Big Ten/Oregon.png"
4,"Texas Tech","Big 12",84.7661425965874,91.2489581442998,78.2833270488751,30.2569816042452,3.63325299436845,8.3277937570391,1.26045642646045e-16,1,0.919063514482517,4.05027828991524,0.528389549424826,7.6653262622702,2.42644868157266e-14,0.999999999999991,0.905915648403478,4.5458807473816,1.56302880772585,2.90837937529488,0.00363307303951053,0.998183463480245,0.728689579232405,2.84128033664449,0.791739783575693,3.58865424674324,0.000332389314160457,0.99983380534292,0.836976961745096,"/Users/nicholasschaefer/Desktop/CFB/cfb_logos_updated_resized/Big 12/Texas Tech.png"
5,"Notre Dame","FBS Independents",80.7949227303344,89.4074033325752,72.1824421280935,28.7304332945962,3.48525864928247,8.24341496161586,2.51906601472519e-16,1,0.898202300629406,3.88732655623186,0.506866505078998,7.66933012396627,2.35338012532687e-14,0.999999999999991,0.889945766022099,3.35785406411903,1.28103914853996,2.62119550986875,0.00876219960132012,0.99561890019934,0.66009306828593,2.37326621218358,0.619246796001728,3.83250462902185,0.000126845211777533,0.999936577394111,0.78355577427594,"/Users/nicholasschaefer/Desktop/CFB/cfb_logos_updated_resized/FBS Independents/Notre Dame.png"
6,"Georgia","SEC",80.6577120348405,77.6389317550115,83.6764923146694,19.5056729280201,3.56727880234742,5.46794181469206,4.94545265869759e-08,0.999999977235436,0.772140323072276,2.77198714999865,0.518794821601113,5.34312802399165,9.85350921519914e-08,0.999999954321904,0.780638312027955,5.24906701739531,1.60638038044198,3.26763640872598,0.00108449590635728,0.999457752046821,0.769291465829716,3.4305464215616,0.776138093577346,4.42002067666806,9.86914579152867e-06,0.999995065427104,0.904238380463671,"/Users/nicholasschaefer/Desktop/CFB/cfb_logos_updated_resized/SEC/Georgia.png"
7,"Ole Miss","SEC",80.0039503128718,76.1039055461597,83.903995079584,18.4278397249853,3.60702344350491,5.10887717077856,3.45374739095219e-07,0.999999837960531,0.757411074869405,2.60902119652609,0.52457494565683,4.97359093896352,6.96069555721056e-07,0.999999671380397,0.764667036053788,5.64914387177101,1.8217270383625,3.10098261309712,0.00192879615720701,0.999035601921397,0.792391852973587,3.26803005439585,0.789635017513425,4.13865897777296,3.49341762428797e-05,0.999982532911879,0.885688048618093,"/Users/nicholasschaefer/Desktop/CFB/cfb_logos_updated_resized/SEC/Ole Miss.png"
8,"Texas A&M","SEC",79.5192093034609,78.7193305424226,80.3190880644993,19.9260795257791,3.59740993881479,5.53900719258701,3.31819040591454e-08,0.999999984790442,0.777885435680685,2.9338468924867,0.523176838941036,5.60775377294053,2.2453721422838e-08,0.999999989751533,0.796501175167766,5.09524386001191,1.61400110958305,3.15690232786034,0.00159454747080219,0.999202726264599,0.760409736111075,2.92008458898122,0.729257250192307,4.00419000045757,6.22303353566794e-05,0.999968884832322,0.845972025178911,"/Users/nicholasschaefer/Desktop/CFB/cfb_logos_updated_resized/SEC/Texas A&M.png"
9,"BYU","Big 12",78.9579390027311,77.7771135796547,80.1387644258074,19.1766880707982,3.63370791651835,5.27744345758324,1.40795502696247e-07,0.999999934500697,0.767644544316004,2.84605997484008,0.528455709450065,5.38561685292761,7.80530059191307e-08,0.999999963901694,0.787897727277091,4.78952767912452,1.592431851689,3.00768141132354,0.0026324895201619,0.998683755239919,0.742757722360706,3.04313523375595,0.74613059122973,4.07855577766947,4.53163309002055e-05,0.99997734183455,0.860017566155442,"/Users/nicholasschaefer/Desktop/CFB/cfb_logos_updated_resized/Big 12/BYU.png"
10,"Alabama","SEC",78.8196277205241,80.6507418867273,76.9885135543208,21.7815876326947,3.60120634080286,6.04841421773089,1.65298475630653e-09,0.999999999268608,0.80324208583049,3.06926595107739,0.523728955498572,5.86040912738069,5.14463631946381e-09,0.999999997691359,0.809772751904057,4.30882502445185,1.40363790066678,3.06975539945523,0.00214234146675993,0.99892882926662,0.715002011670186,2.73432192927949,0.664103380106531,4.11731367613408,3.83314202169168e-05,0.999980834289892,0.82476825941623,"/Users/nicholasschaefer/Desktop/CFB/cfb_logos_updated_resized/SEC/Alabama.png"
11,"Utah","Big 12",77.9788572294991,85.1805499470386,70.7771645119596,24.8628444468323,3.63361687883086,6.84245072497354,9.48504217895372e-12,0.999999999996108,0.845349339777049,3.56403174293995,0.528442469699696,6.74440823230072,1.85194872811438e-11,0.999999999992317,0.858261659163723,3.27542251795193,1.45685478097071,2.24828346705188,0.0245581202648009,0.9877209398676,0.655333481200345,2.1687360997363,0.677656759449875,3.20034600038063,0.00137262699800252,0.999313686500999,0.760209809038846,"/Users/nicholasschaefer/Desktop/CFB/cfb_logos_updated_resized/Big 12/Utah.png"
12,"Oklahoma","SEC",77.9302796029394,76.8969994981317,78.9635597077471,18.5995861529962,3.579021269167,5.19683588170607,2.16965769602843e-07,0.999999898645413,0.759758094574316,2.74692263540059,0.520502546541145,5.27744322031563,1.40795683175909e-07,0.999999934500612,0.778181895388319,4.71983506841016,1.40646125830105,3.35582302075746,0.000791291884395147,0.999604354057802,0.73873367980248,2.8724737449171,0.649709526829841,4.42116611546839,9.81696653519861e-06,0.999995091516732,0.840537514352461,"/Users/nicholasschaefer/Desktop/CFB/cfb_logos_updated_resized/SEC/Oklahoma.png"
13,"Vanderbilt","SEC",76.1393105736733,78.4042722989462,73.8743488484004,20.6107522947463,3.60137874829302,5.72301713739924,1.15498852204408e-08,0.999999994767565,0.78724190672228,2.77408122507793,0.523754028984009,5.29653438744742,1.26975841492943e-07,0.999999940989439,0.780843539256644,4.09983657186595,1.48325423681809,2.76408215806685,0.00570831644938591,0.997145841775307,0.702935044759875,2.2943850516968,0.644552521422476,3.55965569203465,0.000371341331056384,0.999814329334472,0.774551932208134,"/Users/nicholasschaefer/Desktop/CFB/cfb_logos_updated_resized/SEC/Vanderbilt.png"
14,"Miami","ACC",75.7448190923131,83.7621284993666,67.7275096852596,23.9650623343316,3.60708768038893,6.6438812853442,3.64363777048376e-11,0.999999999984724,0.833080599558353,3.39975550543001,0.52458428772529,6.48085652769374,1.07014690141673e-10,0.999999999954398,0.842161970428979,2.5838856542885,1.15971937017175,2.22802664226074,0.0258787384293703,0.987060630785315,0.615404229857347,1.98419926085495,0.59013804970568,3.36226288381936,0.000773064881063438,0.999613467559468,0.739145963847846,"/Users/nicholasschaefer/Desktop/CFB/cfb_logos_updated_resized/ACC/Miami.png"
15,"Texas","SEC",74.3284565237952,71.4733209777208,77.1835920698697,15.0014815959559,3.48918956481671,4.29941719051997,1.76973771214584e-05,0.999991437607687,0.7105878009414,2.14181036638924,0.507438184147641,4.2208301095569,2.50983583730123e-05,0.999987829783424,0.718878618613016,4.67836258291909,1.45505723003515,3.21524300649402,0.00130334138376911,0.999348329308115,0.736339063717636,2.58157257820673,0.681316820945471,3.78909267882783,0.000151198502631366,0.999924400748684,0.807332777679757,"/Users/nicholasschaefer/Desktop/CFB/cfb_logos_updated_resized/SEC/Texas.png"
16,"USC","Big Ten",73.9219983631939,78.8267777384976,69.0172189878901,20.8031983634093,3.51264856772914,5.92236825355353,3.55177333785403e-09,0.99999999841331,0.78987179964358,2.8334689051957,0.510849862882391,5.54657857635176,3.17918367285303e-08,0.999999985434313,0.786663755126373,3.10370848403546,1.27946289955135,2.42579013828677,0.0152751004471102,0.992362449776445,0.645418734525745,1.94722575248705,0.579522592840211,3.36005149159723,0.00077927946940343,0.999610360265298,0.734925645232058,"/Users/nicholasschaefer/Desktop/CFB/cfb_logos_updated_resized/Big Ten/USC.png"
17,"Michigan","Big Ten",71.729317153257,73.8691855766266,69.5894487298873,16.2815273995136,3.50186228814467,4.64939111244713,3.48005962178648e-06,0.999998335418084,0.728080407681068,2.45225443153508,0.509281197716921,4.8151285429904,1.54754512957453e-06,0.999999264474173,0.749303303851465,3.25715422198889,1.38895568719456,2.34503825573281,0.019025127422955,0.990487436288523,0.654278672094071,1.96986950428882,0.602688189227494,3.2684720548676,0.00108129854803071,0.999459350725985,0.737510302503675,"/Users/nicholasschaefer/Desktop/CFB/cfb_logos_updated_resized/Big Ten/Michigan.png"
