"rank","team","division","eval","eval_strength","eval_resume","estimate_spread","std.error_spread","statistic_spread","p.value_spread","percentile_spread","scale_spread","estimate_possessions","std.error_possessions","statistic_possessions","p.value_possessions","percentile_possessions","scale_possessions","estimate_wins","std.error_wins","statistic_wins","p.value_wins","percentile_wins","scale_wins","estimate_bt","std.error_bt","statistic_bt","p.value_bt","percentile_bt","scale_bt","logo","background"
NA,"#Home Advantage",NA,NA,NA,NA,2.82534842816912,2.15976126206784,1.30817626827144,0.191260145636025,0.904593235276792,0.551899872294824,0.420771375118939,0.331598727192574,1.26891734079118,0.204909231324774,0.897764726575099,0.565201696417003,0.322810408928268,0.691016203761551,0.467153168291926,0.640390296891776,0.679804851554112,0.555646817126635,NA,NA,NA,NA,NA,NA,NA,NA
NA,"#Away Disadvantage",NA,NA,NA,NA,-2.82534842816922,2.15976126206784,-1.30817626827148,0.191260145636009,0.0954067647231999,0.321335597539978,-0.420771375118956,0.331598727192574,-1.26891734079123,0.204909231324755,0.102235273424891,0.336479854091767,-0.32281040892827,0.691016203761551,-0.46715316829193,0.640390296891774,0.320195148445887,0.402098027692859,NA,NA,NA,NA,NA,NA,NA,NA
1,"LA","NFC West",100,100,100,13.8074400190748,4.36054855711317,3.1664456520158,0.00161283122059011,0.999228429105931,1,2.02053708387755,0.669496382213896,3.01799552253893,0.00264063306234103,0.998727736679288,1,2.19116551873907,1.41087643246143,1.55305274673583,0.120410533749757,0.939794733125122,1,1.87863400690355,0.601874313727293,3.12130616651429,0.00180050734550181,0.999099746327249,1,"/Users/nicholasschaefer/Desktop/CFB/nfl_logos_resized/LA.png","#F8D347"
2,"SEA","NFC West",80.4312126644505,83.6908790107625,77.1715463181386,10.497100798632,4.39497529621269,2.38843226438103,0.0171950893492911,0.991539786456373,0.864928878515613,1.31737587313263,0.674782088123753,1.95229822533615,0.0513170692071096,0.974548595979092,0.808888701699636,1.25389013634873,1.39749803615638,0.89723928328184,0.369591247517559,0.81520437624122,0.777086648460435,1.03832063763215,0.573466293295631,1.81060447627195,0.0702020988036762,0.964898950598162,0.766344277902336,"/Users/nicholasschaefer/Desktop/CFB/nfl_logos_resized/SEA.png","#092142"
3,"IND","AFC South",76.6025092603388,81.1277627490761,72.0772557716014,9.12841270230602,4.3671018292454,2.09026788456713,0.0369684316901197,0.981703128754946,0.809082566756559,1.33424186454105,0.670502538188707,1.98991321963578,0.0470046983702244,0.976699752069846,0.813472688224964,1.04673342835989,1.41183480839488,0.741399363534547,0.458451330289665,0.770774334855168,0.727818315012982,0.8490885084568,0.573276139368801,1.48111608027447,0.138575643565047,0.930712178217476,0.713726800419046,"/Users/nicholasschaefer/Desktop/CFB/nfl_logos_resized/IND.png","#0E2B5C"
4,"DEN","AFC West",74.6671942576563,64.0814605998871,85.2529279154255,4.26570486886386,4.34748735891884,0.981188561736194,0.326852349309565,0.836750118141565,0.61067045344266,0.809886328129003,0.667491032468572,1.21332915160495,0.225429669460618,0.88749799915476,0.670958758555083,1.62872797801412,1.45915457004016,1.11621346460183,0.264330772340264,0.867834613829868,0.866234791193465,1.2989839898352,0.604446305442804,2.1490477783359,0.0316306127375265,0.984184693631237,0.838823767115045,"/Users/nicholasschaefer/Desktop/CFB/nfl_logos_resized/DEN.png","#E85C2F"
5,"PHI","NFC East",72.7206310452045,64.7100041819912,80.7312579084177,4.90532103338611,4.40482253973822,1.11362512090615,0.265837615802676,0.867279977592689,0.636768586264832,0.760115093073578,0.676293983663678,1.12394182328197,0.261438443320414,0.869481146467386,0.657431497374993,1.40728899069465,1.37225597834451,1.02552950244196,0.305113412164887,0.847443293917557,0.813569685769461,1.16315507582599,0.560902452461786,2.07372078820645,0.0381052494234725,0.980947375288264,0.801055472398894,"/Users/nicholasschaefer/Desktop/CFB/nfl_logos_resized/PHI.png","#1E4B53"
6,"HOU","AFC South",71.9781401420789,77.6547655028619,66.3015147812959,8.13046123315069,4.40482194589142,1.84580928196981,0.0653589157427182,0.967540048803111,0.768363348830678,1.22849529396351,0.676293892487469,1.81651099856157,0.0697367494608924,0.965353988835159,0.784731961226561,0.798780474340015,1.34886810491193,0.592185752951858,0.553726208663003,0.723136895668499,0.668847360432115,0.645735620402159,0.536397316643285,1.20383827503668,0.228652092833272,0.885673953583364,0.657182935193803,"/Users/nicholasschaefer/Desktop/CFB/nfl_logos_resized/HOU.png","#0B1F2E"
7,"SF","NFC West",70.2764962691004,65.5395553500846,75.0134371881163,4.44058630127975,4.34771711047672,1.02136044927561,0.307450694176035,0.846458151790266,0.617806106205173,0.890928104833944,0.667526307350802,1.33467115081914,0.182435350085773,0.909008000178854,0.692985000796519,1.19340783323843,1.37039935661157,0.870846755349647,0.383837832299473,0.808081083850263,0.762702068273591,0.934825615868384,0.549969183565018,1.6997781763128,0.0891726580111602,0.95541367099442,0.737566675488734,"/Users/nicholasschaefer/Desktop/CFB/nfl_logos_resized/SF.png","#9C1F14"
8,"NE","AFC East",65.9841981589136,57.9038625872429,74.0645337305843,2.67112188754737,4.3180947948192,0.618588061279283,0.536397071658099,0.731906115607731,0.545606997028207,0.59468791997915,0.66297824810877,0.896994617358222,0.370042541819605,0.815139105376691,0.612470254716652,1.07971635630647,1.42574706713458,0.757298669024402,0.448870948123812,0.775564525938094,0.735662685141865,0.96381711606101,0.585540335394115,1.64603026948141,0.0997575272115202,0.95012123639424,0.745627989469822,"/Users/nicholasschaefer/Desktop/CFB/nfl_logos_resized/NE.png","#092142"
