"rank","team","division","eval","eval_strength","eval_resume","estimate_spread","std.error_spread","statistic_spread","p.value_spread","percentile_spread","scale_spread","estimate_possessions","std.error_possessions","statistic_possessions","p.value_possessions","percentile_possessions","scale_possessions","estimate_wins","std.error_wins","statistic_wins","p.value_wins","percentile_wins","scale_wins","estimate_bt","std.error_bt","statistic_bt","p.value_bt","percentile_bt","scale_bt","logo","background"
NA,"#Home Advantage",NA,NA,NA,NA,2.67637003584011,2.77725440672247,0.963674782318046,0.335471645134564,0.832395499407389,0.600969883292308,0.384894658326006,0.42037895481217,0.915589740923119,0.360130956632156,0.820058942911002,0.613475159153458,0.280293039978469,0.663253462631568,0.422603206421811,0.672584786807026,0.663707606596487,0.677081133724995,NA,NA,NA,NA,NA,NA,NA,NA
NA,"#Away Disadvantage",NA,NA,NA,NA,-2.67637003584003,2.77725440672247,-0.963674782318017,0.335471645134578,0.167604500592618,0.375523715414142,-0.384894658325986,0.42037895481217,-0.915589740923071,0.360130956632181,0.179941057089011,0.387687457415331,-0.280293039978462,0.663253462631568,-0.4226032064218,0.672584786807033,0.336292393403517,0.517516755080399,NA,NA,NA,NA,NA,NA,NA,NA
1,"BAL","AFC North",100,100,100,12.1504920207511,5.08365991956101,2.39010716944267,0.017051280035383,0.991578271469271,1,1.70269315139617,0.769487893666751,2.21276145526153,0.0271680711870689,0.986542952015267,1,1.41478071778558,1.18149529366328,1.19744930460026,0.231131475929372,0.884434262035314,1,1.36354662148982,0.451411126068971,3.02063139950494,0.00252248231356045,0.99873875884322,1,"/Users/nicholasschaefer/Desktop/CFB/nfl_logos_resized/BAL.png","#22176E"
2,"SF","NFC West",91.5560712434866,91.587946629061,91.5241958579122,10.0586685015534,5.05018944726152,1.99174082608084,0.0467057533245421,0.97680024910217,0.911896787446189,1.42947515032891,0.764421637536858,1.87000874927482,0.0618118085469193,0.969258698556689,0.919862145135031,1.14911008011802,1.16224164926055,0.988701515600585,0.322809201070684,0.838595399464658,0.92437990927853,1.05639622880206,0.43519435910547,2.42741250363045,0.0152069544343199,0.99239652278284,0.906104007879714,"/Users/nicholasschaefer/Desktop/CFB/nfl_logos_resized/SF.png","#9C1F14"
3,"KC","AFC West",83.4258799461644,77.2616849156759,89.590074976653,6.55570786097213,5.01700466378872,1.30669758158475,0.191654124782897,0.904342279816578,0.764359443567801,0.955616776546521,0.759398624679916,1.25838623548905,0.20858323370678,0.895873946293232,0.780874254745716,1.06817081164107,1.15655655566603,0.923578537001112,0.355705792773174,0.822147103613413,0.901341477636657,1.00522198451887,0.432769121809406,2.32276734605288,0.0201916541622567,0.989904172918872,0.890460021896403,"/Users/nicholasschaefer/Desktop/CFB/nfl_logos_resized/KC.png","#D0343E"
4,"DET","NFC North",78.9526403968314,72.7962197251173,85.1090610685454,5.02189483032554,5.07540634176634,0.98945670398832,0.322709573130662,0.838780128478626,0.699758460637515,0.871377461029797,0.768238591334784,1.13425369521702,0.256994587172774,0.871655926785232,0.756165933864832,0.931522883092032,1.17719842605112,0.791304900242521,0.428766089601821,0.78561695519909,0.862446216780958,0.839291483834548,0.436493881751136,1.92280240095797,0.0545048704610633,0.972747564769468,0.83973500458995,"/Users/nicholasschaefer/Desktop/CFB/nfl_logos_resized/DET.png","#3274B1"
5,"DAL","NFC East",77.1196177509636,79.9395426371614,74.2996928647658,7.38584418771232,5.12970348711843,1.43981893032598,0.1502714624358,0.925040683016417,0.799323041869575,1.01900871842675,0.776457275642978,1.31238221392532,0.1897306969799,0.905304397513941,0.799467810873652,0.533899105426773,1.18556150223175,0.450334381153353,0.652469351876234,0.673765324061883,0.749267182755802,0.502333022555705,0.448570557026239,1.11985286302757,0.2627764679502,0.8686117660249,0.736726674539514,"/Users/nicholasschaefer/Desktop/CFB/nfl_logos_resized/DAL.png","#869397"
6,"BUF","AFC East",74.926059101797,76.0889091314243,73.7632090721698,6.50946481617278,5.08504516326166,1.28011937105342,0.200837835274304,0.89974842153492,0.762411783658778,0.882288966958085,0.769697571000462,1.14628004582537,0.251988432426613,0.874160351702695,0.759366398969707,0.492826721421451,1.16330997354098,0.423641791638168,0.671827072066561,0.66408646396672,0.737576401147802,0.505476969424237,0.431985350555484,1.17012525719738,0.241950565646698,0.879024717176651,0.737687780295593,"/Users/nicholasschaefer/Desktop/CFB/nfl_logos_resized/BUF.png","#123288"
7,"CLE","AFC North",69.5406646175467,56.7672935539173,82.3140356811762,1.33719522293893,5.1362730397643,0.260343484971798,0.794659255508985,0.602700583725045,0.544566653237319,0.307516249231194,0.777451675604383,0.395543876077101,0.692536659757005,0.653779226245995,0.590779217841027,0.836504218454459,1.17380799556955,0.712641438473566,0.476067662771106,0.761966168614447,0.835400246992164,0.744903188182361,0.438069963557076,1.70042059522601,0.0890518406102001,0.9554740796949,0.81088046663136,"/Users/nicholasschaefer/Desktop/CFB/nfl_logos_resized/CLE.png","#2E1E05"
8,"LA","NFC West",67.7031308337206,61.7266548353057,73.6796068321355,2.56822828248248,5.12906875499606,0.500720190186737,0.616692281143329,0.691715969599231,0.59641517980295,0.468910446176875,0.776361199451492,0.60398490613411,0.546008114577142,0.727073161340701,0.638117916903163,0.549856356612986,1.17086201003792,0.469616702821521,0.638628889145084,0.680685555427458,0.753809230732804,0.446906959412054,0.43341222417144,1.0311360282152,0.302477034652658,0.848761482673671,0.719782905909906,"/Users/nicholasschaefer/Desktop/CFB/nfl_logos_resized/LA.png","#F8D347"
